mz	H/C	O/C
302.103396	1.0625	0.3125
302.124526	1.615384615	0.538461538
302.139782	1.235294118	0.235294118
302.233682	2.0625	0.25
303.014641	0.571428571	0.571428571
303.051026	0.8	0.466666667
303.066282	0.631578947	0.210526316
303.087412	1	0.375
303.098645	1.066666667	0.333333333
303.108541	1.538461538	0.615384615
303.123797	1.176470588	0.294117647
303.127169	1.714285714	0.357142857
303.135031	1.25	0.25
303.144927	1.714285714	0.5
303.160183	1.333333333	0.222222222
303.171416	1.411764706	0.176470588
303.19994	2	0.1875
303.217698	2	0.3125
304.028517	0.785714286	0.357142857
304.046275	0.785714286	0.5
304.061531	0.611111111	0.222222222
304.082661	1	0.4
304.119046	1.1875	0.3125
304.13028	1.266666667	0.266666667
304.155432	1.352941176	0.235294118
305.030291	0.714285714	0.571428571
305.045547	0.555555556	0.277777778
305.066676	0.933333333	0.466666667
305.081932	0.736842105	0.210526316
305.103062	1.125	0.375
305.118318	0.9	0.15
305.124191	1.692307692	0.615384615
